time,pressure_GS_5,temperature_GS_5,void_GS_5
0.326,1481641.3980036,480.48191581939,0.91974386981721
0.327,1462300.002411,480.20591360763,0.9227628342246
0.328,1447196.8788535,479.93686020397,0.92846310160428
0.329,1432079.9978016,479.80908623235,0.93155757575758
0.33,1404279.3969532,479.63785707053,0.9327
0.331,1369816.0321889,479.42368218974,0.93417316094516
0.332,1341567.6227739,479.29586334007,0.9353
0.333,1326450.741722,479.06982422176,0.9362
0.334,1311794.6312682,478.91044276194,0.9362
0.335,1307572.9447582,478.65285041031,0.9363
0.336,1296154.2334785,478.50174584205,0.9354
0.337,1281038.0398703,478.13760520298,0.93474855334539
0.338,1265921.1573885,477.87997953295,0.9342986883763
0.339,1260448.2798805,477.62241354104,0.9327
0.34,1250741.5334843,477.26775213657,0.931
0.341,1250678.7906319,476.61554116862,0.9302
0.342,1250616.0477796,475.93569174215,0.9302
0.343,1250553.3049272,475.39970812984,0.93076159678858
0.344,1250490.5620748,474.86367085603,0.93378065091396
0.345,1235373.6809188,474.32766169627,0.9355
0.346,1220256.798114,474.13166260331,0.93991640659831
0.347,1211557.6710651,474.00389152007,0.9426
0.348,1205077.8587932,473.88966772793,0.9435
0.349,1189960.9722838,473.87807277715,0.9435
0.35,1174843.4066895,473.75029965633,0.9435
0.351,1164435.5022689,473.62249051969,0.9435
0.352,1159664.4727853,473.62447903079,0.9453
0.353,1144547.5902089,473.36687529785,0.9471
0.354,1129430.7074041,473.23904858369,0.948
0.355,1117310.2027735,472.99753087741,0.94973520431073
0.356,1113088.6245136,472.85162910912,0.951345920642
0.357,1099134.8884518,472.4662461702,0.95178408381632
0.358,1084018.0073999,472.16957132015,0.9524
0.359,1070187.7465567,471.95102979255,0.95355318769505
0.36,1068838.3834957,471.74753124082,0.955
0.361,1068775.6362875,471.5655592175,0.95621636931311
0.362,1053658.7585914,471.06549581841,0.9578
0.363,1023487.7330664,470.92055973907,0.95879928666964
0.364,1023424.9945863,470.64349455122,0.9596
0.365,1014621.2052313,470.36747317711,0.9606320249777
0.366,1008246.0572034,470.14777207351,0.9614
0.367,1008183.3124575,469.94545549536,0.9614
0.368,993066.4318056,469.76231748113,0.9623
0.369,982616.78061413,469.63453831257,0.96240026737968
0.37,977886.80770473,469.2474326913,0.9632
0.371,962769.92508328,468.9714278209,0.9632
0.372,947653.03890701,468.43535827331,0.9632
0.373,935490.57998514,467.76939911878,0.9632
0.374,931266.46496623,467.5676747916,0.9632
0.375,917356.53403198,467.21733361132,0.96320440053884
0.376,902240.34235218,467.05248298933,0.9633
0.377,888368.79954094,466.5353849511,0.9633
0.378,869027.40069871,466.14784899205,0.9633
0.379,849686.00185648,465.72329534478,0.9633
